,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,Missing,Missing,1,36,Job-Seekers
1,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,50-99,Pvt Ltd,>4,47,Non Job-Seekers
2,0.624,Unspecified,No relevent experience,Full time course,Graduate,STEM,5,No company,No company,never,83,Non Job-Seekers
4,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Funded Startup,4,8,Non Job-Seekers
5,0.764,Unspecified,Has relevent experience,Part time course,Graduate,STEM,11,Missing,Missing,1,24,Job-Seekers
6,0.92,Male,Has relevent experience,no_enrollment,High School,No Major,5,50-99,Funded Startup,1,24,Non Job-Seekers
7,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,<10,Pvt Ltd,>4,18,Job-Seekers
8,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,46,Job-Seekers
9,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,123,Non Job-Seekers
10,0.624,Unspecified,No relevent experience,Full time course,High School,No Major,2,No company,No company,never,32,Job-Seekers
11,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,Pvt Ltd,1,108,Non Job-Seekers
12,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,3,23,Non Job-Seekers
14,0.624,Unspecified,No relevent experience,Full time course,High School,No Major,5,No company,No company,never,26,Non Job-Seekers
15,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10/49,Pvt Ltd,>4,18,Non Job-Seekers
16,0.92,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,1,50-99,Pvt Ltd,never,106,Non Job-Seekers
17,0.624,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,2,5000-9999,Pvt Ltd,2,7,Non Job-Seekers
18,0.624,Unspecified,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,never,23,Job-Seekers
